Municipality,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
Elektrėnų,24700,24396,24234,24164,23959,23770,23724,23687,23984,24108
Šalčininkų r.,34175,33710,33172,32705,32305,31789,31265,31031,30521,30274
Širvintų r.,17225,16908,16599,16333,16074,15863,15570,15355,15072,14910
Švenčionių r.,27434,26853,26259,25719,25180,24565,23881,23392,22929,22493
Trakų r.,34230,33899,33556,33437,33020,32701,32492,32558,32541,33213
Ukmergės r.,39222,38355,37548,36919,36160,35265,34376,33928,33482,33052
Vilniaus m..,533279,537152,539707,542626,543493,545280,547484,552131,561836,569902
Vilniaus r.,95650,95035,95031,95620,95189,95940,96575,98456,100146,102031
