Age_gr_id,Age_group,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
1,0-17,94843,96452,97623,99370,101400,102970,104553,106608,109237,111226
2,18-24,55963,52624,49284,45238,40376,36336,34212,33404,33035,32649
3,25-34,91069,94362,96727,99203,101555,103593,102307,99822,98473,96916
4,35-44,75089,76508,77880,79456,80187,81399,83791,88163,93974,100012
5,45-54,74664,73494,71906,70684,69073,68000,67731,67687,69046,70442
6,55-64,60220,61272,62604,63337,64636,65584,66094,66762,66985,66787
7,65-74,44457,44117,43882,44492,44493,45034,45740,46440,47818,48702
8,75-84,29342,29976,30667,31277,31704,31922,32131,32024,31724,31398
9,85 and older,7632,8347,9134,9569,10069,10442,10925,11221,11544,11770
